suburb,state,postcode,lat,lng,label
Beaumont Hills,NSW,2155,-33.7,150.95,"Beaumont Hills, NSW 2155"
Beckom,NSW,2665,-34.36,146.9,"Beckom, NSW 2665"
Bective,NSW,2340,-30.96,150.83,"Bective, NSW 2340"
Bectric,NSW,2665,-34.36,146.9,"Bectric, NSW 2665"
Beechwood,NSW,2446,-31.46,152.53,"Beechwood, NSW 2446"
Beecroft,NSW,2119,-33.75,151.06,"Beecroft, NSW 2119"
Beecroft Peninsula,NSW,2540,-34.89,150.53,"Beecroft Peninsula, NSW 2540"
Beelbangera,NSW,2680,-34.26,146.1,"Beelbangera, NSW 2680"
Beemunnel,NSW,2824,-31.67,147.86,"Beemunnel, NSW 2824"
Bega,NSW,2550,-36.64,149.86,"Bega, NSW 2550"
Belanglo,NSW,2577,-34.61,150.48,"Belanglo, NSW 2577"
Belbora,NSW,2422,-31.97,152.07,"Belbora, NSW 2422"
Belfield,NSW,2191,-33.9,151.08,"Belfield, NSW 2191"
Belford,NSW,2335,-32.65,151.28,"Belford, NSW 2335"
